CLAUSE_NUMBER,text,file,input,spaced_lrml,random_split,doc_split
1.2.2,"The location of sanitary towel disposal equipment shall not impede access for people with disabilities and shall be located: Where separate female facilities are provided: within the facility to serve one or more toilet cubicles, or Where unisex facilities are provided: in each toilet cubicle.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 The location of sanitary towel disposal equipment shall not impede access for people with disabilities and shall be located: Where separate female facilities are provided: within the facility to serve one or more toilet cubicles, or Where unisex facilities are provided: in each toilet cubicle.
Target: ","if( exist( sanitary towel disposal equipment)), then( obligation( and( not( impede( access, people with disabilities)), for( access, or( female facility, unisex facility))), if( is( access, female facility), within( equipment, facility), serve( equipment, toilet cubicle), if( is( access, unisex facility), in( equipment, toilet cubicle))))",1,1
2.1.1,"A WC system shall be firmly fixed in place and have: An impervious, easily cleaned surface finish (e.g. glazed earthenware or stainless steel), Sufficient water trap volume to contain excreta from normal usage, A minimum water seal depth of 50 mm (see Figure 2 ), A pan which will not overflow during a single flush even if the outlet blocks, A watertight flexible joint connecting the WC to a discharge pipe. The joint must be above floor level, and within the room containing the WC, and A flushing apparatus capable of clearing all normal faecal matter from the pan in a single flush, and of delivering a full flush within 2 minutes of the previous usage.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 A WC system shall be firmly fixed in place and have: An impervious, easily cleaned surface finish (e.g. glazed earthenware or stainless steel), Sufficient water trap volume to contain excreta from normal usage, A minimum water seal depth of 50 mm (see Figure 2 ), A pan which will not overflow during a single flush even if the outlet blocks, A watertight flexible joint connecting the WC to a discharge pipe. The joint must be above floor level, and within the room containing the WC, and A flushing apparatus capable of clearing all normal faecal matter from the pan in a single flush, and of delivering a full flush within 2 minutes of the previous usage.
Target: ","if( exist( wc system)), then( obligation( and( has( wc system, impervious surface finish), has( wc system, water trap), greater than equal( water trap. volume, excreta from normal usage), has( water trap, minimum water seal depth), greater than equal( minimum water seal depth, 50 mm), has( wc system, pan), not( is( pan, overflow prone)), has( wc system, watertight flexible joint), is( joint. location, above floor level), is( joint. location, within room containing wc), has( wc system, flushing apparatus), is( flushing apparatus, capable of clearing all normal faecal matter), is( flushing apparatus, capable of delivering full flush within 2 minutes))))",1,1
2.2.1,Flushing systems for sanitary fixtures shall use either cisterns or flushing valves.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Flushing systems for sanitary fixtures shall use either cisterns or flushing valves.
Target: ","if( has( sanitary fixture, flushing system)), then( obligation( or( is( flushing system, cistern), is( flushing system, flushing valve))))",1,1
2.2.2,"Cisterns may be of the dual flush, 2 button type providing the choice of a full flush or a half flush.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Cisterns may be of the dual flush, 2 button type providing the choice of a full flush or a half flush.
Target: ","if( exist( cistern)), then( permission( is( cistern. type, dual flush), has( cistern, 2 buttons), for( button, cistern), is( button. function, or( full flush, half flush)))))",1,1
2.2.3,"Flushing valves shall have backflow prevention complying with G12 /AS1 , and a water supply capable of supplying several flushes in rapid succession. The capacity should be related to the nature and usage of the building.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Flushing valves shall have backflow prevention complying with G12 /AS1 , and a water supply capable of supplying several flushes in rapid succession. The capacity should be related to the nature and usage of the building.
Target: ","if( has( flushing valve, backflow prevention)), then( obligation( and( has( flushing valve, water supply), is( water supply. capacity, related to( building. nature, building. usage)), capable of( water supply, several rapid flushes))))",1,1
2.3.1,"A urinal may be of the stall, continuous wall, trough or bowl type.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 A urinal may be of the stall, continuous wall, trough or bowl type.
Target: ","if( exist( urinal)), then( permission( is( urinal. type, or( stall, continuous wall, trough, bowl))))",1,1
2.3.2,"Any urinal shall have at its base a channel or trough of sufficient size to receive all fluids discharging into it. The channel shall drain to a trap at the lowest point where fluids shall enter a discharge pipe through a domed grate. The grate shall have openings with a total area at least that of the discharge pipe, and be securely fixed but removable for maintenance access (see Figure 3 ).",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Any urinal shall have at its base a channel or trough of sufficient size to receive all fluids discharging into it. The channel shall drain to a trap at the lowest point where fluids shall enter a discharge pipe through a domed grate. The grate shall have openings with a total area at least that of the discharge pipe, and be securely fixed but removable for maintenance access (see Figure 3 ).
Target: ","if( exist( urinal)), then( obligation( and( has( urinal, base), is( base. type, or( channel, trough)), has( channel. drainage, trap), is( trap. location, lowest point), towards( trap. drainage, discharge pipe), has( discharge pipe, grate), is( grate. type, domed), has( grate. opening area, greater than equal( discharge pipe. area)), is( grate. fixing, securely fixed), is( grate. access, removable), as per( grate, nzbc g1as1 f3))))",1,1
2.3.3,"Wall hung bowl or trough urinals shall have the front lip height above the floor or step, no more than 600 mm for men and no more than 400 mm for boys. The back surface of the urinal must extend at least 450 mm above the front lip level.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Wall hung bowl or trough urinals shall have the front lip height above the floor or step, no more than 600 mm for men and no more than 400 mm for boys. The back surface of the urinal must extend at least 450 mm above the front lip level.
Target: ","if( exist( urinal)), then( obligation( and( is( urinal. type, wall hung), or( less than equal( urinal. front lip height, 600 mm), is( urinal. user, men)), or( less than equal( urinal. front lip height, 400 mm), is( urinal. user, boys))), has( urinal, back surface), greater than equal( back surface. height, 'urinal. front lip height + 450 mm'))))",1,1
2.3.4,"Urinals shall have impervious, easily cleaned surfaces (e.g. glazed ceramic ware or stainless steel). Stainless steel urinals are to be constructed of 1.2 mm minimum sheet thickness of grade 304 or when located in the outside air or a marine environment, the grade is to be 316 .",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Urinals shall have impervious, easily cleaned surfaces (e.g. glazed ceramic ware or stainless steel). Stainless steel urinals are to be constructed of 1.2 mm minimum sheet thickness of grade 304 or when located in the outside air or a marine environment, the grade is to be 316 .
Target: ","if( is( fixture, urinal)), then( obligation( and( has( fixture, impervious surface), is( surface. type, or( glazed ceramic ware, stainless steel)), if( is( surface. type, stainless steel), and( greater than equal( surface. thickness, 1.2 mm), is( surface. grade, or( 304, and( is( fixture. location, outside air), is( fixture. location, marine environment), is( surface. grade, 316))))))))",1,1
2.3.5,"Urinal flushing apparatus shall clean the whole urinal surface and deliver a minimum of 2.5 litres of water per flush to each stall, bowl or 600 mm length of urinal wall.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Urinal flushing apparatus shall clean the whole urinal surface and deliver a minimum of 2.5 litres of water per flush to each stall, bowl or 600 mm length of urinal wall.
Target: ","if( exist( urinal)), then( obligation( and( has( urinal, flushing apparatus), is( flushing apparatus. type, cleaning), greater than equal( flushing apparatus. water delivery, '2.5 l'), towards( flushing apparatus. coverage, urinal. surface), towards( flushing apparatus. coverage, stall), towards( flushing apparatus. coverage, bowl), towards( flushing apparatus. coverage, '600 mm length of urinal wall'))))",1,1
2.3.6,A urinal flushing system shall have the cistern outlet at least 450 mm above the sparge pipe and comply with Table 5 .,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 A urinal flushing system shall have the cistern outlet at least 450 mm above the sparge pipe and comply with Table 5 .
Target: ","if( exist( urinal flushing system)), then( obligation( and( above( cistern. outlet, sparge pipe), greater than equal( distance, 450 mm), comply with( urinal flushing system, nzbc g1as1 t5))))",1,1
2.3.7,A flushing valve is also acceptable for urinals provided the water supply complies with Table 5 and backflow prevention complies with NZBC G12 .,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 A flushing valve is also acceptable for urinals provided the water supply complies with Table 5 and backflow prevention complies with NZBC G12 .
Target: ","if( is( urinal. type, flushing)), then( obligation( and( comply with( water supply, nzbc g1as1 t5), comply with( backflow prevention, nzbc g12))))",1,1
2.3.8,Manually operated flushing systems shall have the operating control located no more than 1.3 m above the floor.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Manually operated flushing systems shall have the operating control located no more than 1.3 m above the floor.
Target: ","if( exist( flushing system)), then( obligation( less than equal( operating control. height, 1.3 m), above( operating control. height, floor)))",1,1
3.0.1,"Other NZBC Clauses relevant to the installation of sanitary fixtures are: E3 “Internal Moisture”, for overflow and water splash requirements, Be firmly fixed in place, and Have an impervious, easily cleaned surface finish (e.g. glazed earthenware or stainless steel), and G4 “Ventilation”, G12 “Water supplies”, and G13 “Foul water”.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Other NZBC Clauses relevant to the installation of sanitary fixtures are: E3 “Internal Moisture”, for overflow and water splash requirements, Be firmly fixed in place, and Have an impervious, easily cleaned surface finish (e.g. glazed earthenware or stainless steel), and G4 “Ventilation”, G12 “Water supplies”, and G13 “Foul water”.
Target: ","if( exist( sanitary fixture)), then( comply with( sanitary fixture. installation, and( nzbc e3, firmly fixed, impervious surface finish, ventilation, water supply, foul water)))",1,1
3.1,"Space dimensions spray type, and Satisfy the provisions of NZBC G12 for backflow prevention.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Space dimensions spray type, and Satisfy the provisions of NZBC G12 for backflow prevention.
Target: ","if( and( is( space. type, spray), satisfy( space. dimension, nzbc g1as1), comply with( space. backflow prevention, nzbc g12)))",1,1
3.1.1,Space containing soil fixtures shall be separated from habitable spaces. WC pans shall be located in spaces having dimensions of no less than those shown in Figure 4 .,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Space containing soil fixtures shall be separated from habitable spaces. WC pans shall be located in spaces having dimensions of no less than those shown in Figure 4 .
Target: ","if( has( building, soil fixture)), then( obligation( and( separate( space containing( soil fixture), habitable space), has( space, wc pan), greater than equal( space. dimensions, as per( nzbc g1as1 f4)))))",1,1
2.5.1,Showers using either a shower tray or a level threshold shall satisfy the provisions of E3 /AS1 Internal Moisture.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Showers using either a shower tray or a level threshold shall satisfy the provisions of E3 /AS1 Internal Moisture.
Target: ","if( and( is( shower, using), or( shower. fixture, shower tray), is( shower. threshold, level))), then( obligation( comply with( nzbc e3as1, internal moisture)))",1,1
4.1.1,Sanitary fixtures for people with disabilities shall be signposted as required by NZBC F8 “Signs” and located on an accessible route as required by NZBC D1 “Access Routes”.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Sanitary fixtures for people with disabilities shall be signposted as required by NZBC F8 “Signs” and located on an accessible route as required by NZBC D1 “Access Routes”.
Target: ","if( and( is( fixture, for people with disabilities)), then( obligation( and( comply with( fixture, nzbc f8), is( fixture. location, accessible route), comply with( fixture. location, nzbc d1)))))",1,1
4.2.1,"Sanitary facilities for people with disabilities shall be provided in accordance with Tables 1 and 2 . In large buildings having more than 300 occupants, where sanitary facilities are provided in groups in two or more locations, accessible facilities shall be included at each location for buildings having the following classified uses: Communal non-residential – all buildings described as “assembly service”, and Commercial – those buildings that are amusement parks, shopping plazas, libraries and transport terminals.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Sanitary facilities for people with disabilities shall be provided in accordance with Tables 1 and 2 . In large buildings having more than 300 occupants, where sanitary facilities are provided in groups in two or more locations, accessible facilities shall be included at each location for buildings having the following classified uses: Communal non-residential – all buildings described as “assembly service”, and Commercial – those buildings that are amusement parks, shopping plazas, libraries and transport terminals.
Target: ","if( greater than( building. occupants, 300)), then( obligation( and( for( facility, sanitary), is( facility. type, accessible), at each( facility. location, group), is( group. location, or( assembly service, amusement park, shopping plaza, library, transport terminal)), comply with( facility, and( nzbc g1as1 t1, nzbc g1as1 t2)))))",1,1
4.2.2,"Fixtures and spaces for people with disabilities shall comply with the relevant layouts shown in Figures 5 , 6 , 7 , 8 and 9 .",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Fixtures and spaces for people with disabilities shall comply with the relevant layouts shown in Figures 5 , 6 , 7 , 8 and 9 .
Target: ","if( exist( fixture) and is( fixture. for, people with disabilities)), then( comply with( fixture. layout, and( nzbc g1as1 f5, nzbc g1as1 f6, nzbc g1as1 f7, nzbc g1as1 f8, nzbc g1as1 f9)))",1,1
3.2.1,"In household units, at least one door shall be provided between a soil fixture and a kitchen or a place for food storage.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 In household units, at least one door shall be provided between a soil fixture and a kitchen or a place for food storage.
Target: ","if( is( unit. type, household), has( unit, door), between( door, soil fixture), and( or( is( door. location, kitchen), is( door. location, place for food storage))))",1,1
3.2.2,"In buildings other than household units, no space containing a soil fixture shall open directly into: A space used for the storage, preparation, sale or consumption of food, see Figure 10 , or An office or other work areas (as in factories), see Figure 10 .",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 In buildings other than household units, no space containing a soil fixture shall open directly into: A space used for the storage, preparation, sale or consumption of food, see Figure 10 , or An office or other work areas (as in factories), see Figure 10 .
Target: ","if( and( not( is( building. classified use, household unit)), has( space, soil fixture)), then( obligation( and( not( open( space, food storage/preparation/sale/consumption)), not( open( space, office/work area)), as per( figure 10))))",1,1
3.3.1,"Basins shall be located in spaces containing a soil fixture, or in an immediately adjacent space. However, where only a single door is provided between the soil fixture space and a kitchen in household units (see Paragraph 3.2.1 ), a basin shall be provided within the soil fixture space.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Basins shall be located in spaces containing a soil fixture, or in an immediately adjacent space. However, where only a single door is provided between the soil fixture space and a kitchen in household units (see Paragraph 3.2.1 ), a basin shall be provided within the soil fixture space.
Target: ","if( exist( basin)), then( obligation( or( within( basin. location, space containing soil fixture), adjacent( basin. location, space containing soil fixture), and( within( basin. location, kitchen), within( kitchen, household unit), has( kitchen, single door), connect( kitchen, soil fixture), has( soil fixture, basin)))))",1,1
3.4.1,Sanitary fixtures may be located in buildings separate from other accommodation. The length of travel shall be convenient taking account of the type and usage of the fixtures.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Sanitary fixtures may be located in buildings separate from other accommodation. The length of travel shall be convenient taking account of the type and usage of the fixtures.
Target: ","if( is( fixture. type, sanitary)), then( obligation( and( convenient( travel length, for( fixture, type)), taking into account( fixture. usage))))",1,1
3.4.2,In camping grounds sanitary fixtures shall be located no more than 75 metres from any caravan or campsite.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 In camping grounds sanitary fixtures shall be located no more than 75 metres from any caravan or campsite.
Target: ","if( is( area, camping ground)), then( obligation( and( define( max distance, 75 m), less than equal( distance( sanitary fixture, caravan or campsite), max distance))))",1,1
3.4.3,Sanitary fixtures for group dwellings shall be conveniently located for all occupants.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Sanitary fixtures for group dwellings shall be conveniently located for all occupants.
Target: ","if( is( building. type, group dwelling)), then( obligation( has( building, sanitary fixtures), for( sanitary fixture, all( building. occupants)), is( sanitary fixture. location, convenient))))",1,1
4.2.7,NZS 4121 Section 10 is also an acceptable solution for people with disabilities.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 NZS 4121 Section 10 is also an acceptable solution for people with disabilities.
Target: ","if( exist( building)), then( comply with( building. accessibility, nzs 4121 s10))",1,1
4.2.8,"Where there is a wall hung pan or a concealed cistern, full access is required each side of the WC pan, as detailed in Figure 7 , to allow for wheel-over access. The wall in front of a concealed cistern shall extend no less than 1.0 m above floor level to provide back support, and fold-up lid shall be provided.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Where there is a wall hung pan or a concealed cistern, full access is required each side of the WC pan, as detailed in Figure 7 , to allow for wheel-over access. The wall in front of a concealed cistern shall extend no less than 1.0 m above floor level to provide back support, and fold-up lid shall be provided.
Target: ","if( or( is( wc pan. type, wall hung), is( cistern. type, concealed))), then( obligation( and( has( wc pan, access), is( access. type, full), on( access. side, wc pan), towards( access. detail, nzbc g1as1 f7), has( cistern. wall, support), greater than equal( height( cistern. wall), 1.0 m), has( cistern. lid, fold up))))",1,1
5.0.1,"Soil fixtures that are not water flushed, such as those using chemicals or biological treatment, shall be located where they will not cause a nuisance.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Soil fixtures that are not water flushed, such as those using chemicals or biological treatment, shall be located where they will not cause a nuisance.
Target: ","if( and( exist( soil fixture), not( is( soil fixture. type, water flushed))), then( obligation( not( cause( soil fixture, nuisance))))",1,1
5.0.2,"Privies are acceptable if located at least 3.0 m from any building having a classified use, other than outbuildings or ancillary buildings. Receptacles for excreta are to be constructed to exclude flies and be fitted with a hinged lid.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Privies are acceptable if located at least 3.0 m from any building having a classified use, other than outbuildings or ancillary buildings. Receptacles for excreta are to be constructed to exclude flies and be fitted with a hinged lid.
Target: ","if( is( building. use, classified), greater than equal( distance( privy, building), 3.0 m)), then( obligation( and( has( excreta receptacle, lid), is( lid. type, hinged), exclude( excreta receptacle, flies))))",1,1
6.1.1,"There shall be no direct line of sight between an access route or accessible route and a WC, urinal, bath, shower or bidet. See Figure 10 for acceptable layouts.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 There shall be no direct line of sight between an access route or accessible route and a WC, urinal, bath, shower or bidet. See Figure 10 for acceptable layouts.
Target: ","if( and( exist( access route), exist( wc or urinal or bath or shower or bidet)), then( obligation( not( has( access route, direct line of sight)), as per( acceptable layout, nzbc g1as1 f10)))",1,1
4.2.4,Accessible showers shall have a level threshold.,NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Accessible showers shall have a level threshold.
Target: ","if( is( shower, accessible)), then( obligation( is( shower. threshold, level)))",1,1
4.2.5,"If two or more toilet compartments are provided for wheelchair users, at least one shall have a pan of the opposite hand.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 If two or more toilet compartments are provided for wheelchair users, at least one shall have a pan of the opposite hand.
Target: ","if( greater than equal( count( toilet compartment. for wheelchair users), 2)), then( obligation( and( has( toilet compartment, wc pan), for( wc pan, opposite hand))))",1,1
4.2.6,"The WC flushing control shall be easily operable, positioned on the centre line or approach side of the WC pan, and no higher than 1200 mm above the finished floor level. Similarly, easily operable privacy bolts (to indicate whether the toilet is occupied) shall be located no more than 1200 mm above floor level.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 The WC flushing control shall be easily operable, positioned on the centre line or approach side of the WC pan, and no higher than 1200 mm above the finished floor level. Similarly, easily operable privacy bolts (to indicate whether the toilet is occupied) shall be located no more than 1200 mm above floor level.
Target: ","if( exist( wc)), then( obligation( and( is( wc. flushing control, easily operable), on( wc. flushing control, or( centre line, approach side)), less than equal( above( wc. flushing control, finished floor level), 1200 mm), is( wc. privacy bolt, easily operable), less than equal( above( wc. privacy bolt, floor level), 1200 mm))))",1,1
6.2.1,"Where a space contains more than one WC pan, each pan shall be enclosed in a separate cubicle. Screen walls and doors are acceptable with their upper edge at least 1600 mm above the floor, and their lower edge between 150 mm and 300 mm above the floor (see Figure 11 ).",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Where a space contains more than one WC pan, each pan shall be enclosed in a separate cubicle. Screen walls and doors are acceptable with their upper edge at least 1600 mm above the floor, and their lower edge between 150 mm and 300 mm above the floor (see Figure 11 ).
Target: ","if( exist( wc pan), then( obligation( loop( for each( wc pan), and( has( wc pan, enclosure), is( enclosure. type, cubicle), or( and( has( enclosure, screen wall), greater than equal( screen wall. upper edge, 1600 mm), between( screen wall. lower edge, 150 mm, 300 mm)), has( enclosure, door), greater than equal( door. upper edge, 1600 mm), between( door. lower edge, 150 mm, 300 mm))))))",1,1
6.3.1,"Lobbies between the space containing sanitary facilities and general public areas are not necessary to meet privacy and line of sight requirements, but if provided: They shall be independent for each sex if the facilities are single sex or, They shall be unisex for unisex facilities.",NZ_NZBC-G1AS1#2.6,"Source: G1AS1 Lobbies between the space containing sanitary facilities and general public areas are not necessary to meet privacy and line of sight requirements, but if provided: They shall be independent for each sex if the facilities are single sex or, They shall be unisex for unisex facilities.
Target: ","if( and( has( space, sanitary facilities), has( space, general public area))), then( obligation( and( if( is( facilities. type, single sex), independent( lobby, sex)), if( is( facilities. type, unisex), is( lobby. type, unisex)))))",1,1
1.1.1,A tub shall be provided with a cold water supply.,NZ_NZBC-G2AS1#1.3,"Source: G2AS1 A tub shall be provided with a cold water supply.
Target: ","if( is( fixture, tub)), then( obligation( has( fixture, cold water supply)))",1,1
1.1.2,"Space provided for a washing machine shall have a cold water supply, a discharge pipe, a water trap, and an adjacent 10 amp socket outlet.",NZ_NZBC-G2AS1#1.3,"Source: G2AS1 Space provided for a washing machine shall have a cold water supply, a discharge pipe, a water trap, and an adjacent 10 amp socket outlet.
Target: ","if( has( space, washing machine)), then( obligation( and( has( washing machine, cold water supply), has( washing machine, discharge pipe), has( washing machine, water trap), has( adjacent space, 10 amp socket outlet))))",1,1
1.1.3,Plumbing and drainage for waste water from the tub and washing machine discharge pipe shall be provided as required by NZBC G13 “Foul Water”.,NZ_NZBC-G2AS1#1.3,"Source: G2AS1 Plumbing and drainage for waste water from the tub and washing machine discharge pipe shall be provided as required by NZBC G13 “Foul Water”.
Target: ","if( and( has( waste water, tub), has( waste water, washing machine), has( discharge pipe, tub), has( discharge pipe, washing machine))), then( obligation( comply with( nzbc g13, plumbing and drainage)))",1,1
1.3.1,Laundering facilities shall be provided according to the number of people being serviced. Acceptable provisions are shown in Table 1 .,NZ_NZBC-G2AS1#1.3,"Source: G2AS1 Laundering facilities shall be provided according to the number of people being serviced. Acceptable provisions are shown in Table 1 .
Target: ","if( exist( laundering facility)), then( obligation( and( as per( laundering facility, nzbc g2as1 t1), for( laundering facility, number of people))))",1,1
1.1.1,Utensil washing and food rinsing facilities shall have a sink with free draining surfaces with continuous falls to the outlet. The sink shall be capable of fully containing a solid cylinder of 300 mm diameter and 125 mm depth.,NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Utensil washing and food rinsing facilities shall have a sink with free draining surfaces with continuous falls to the outlet. The sink shall be capable of fully containing a solid cylinder of 300 mm diameter and 125 mm depth.
Target: ","if( and( is( facility, or( utensil washing, food rinsing)), has( facility, sink))), then( obligation( and( is( sink. draining surface, free), has( sink. outlet, continuous fall), greater than equal( sink. capacity, cylinder( 300 mm diameter, 125 mm depth)))))",1,1
1.1.2,The food preparation surface shall have the minimum dimensions shown in Figure 1 . A drainer integral with and draining to the sink is acceptable.,NZ_NZBC-G3AS1#1.2,"Source: G3AS1 The food preparation surface shall have the minimum dimensions shown in Figure 1 . A drainer integral with and draining to the sink is acceptable.
Target: ","if( exist( food preparation surface)), then( obligation( and( comply with( food preparation surface. dimension, nzbc g3as1 f1), or( has( food preparation surface, drainer), towards( drainer, sink), is( drainer, integral))))",1,1
1.1.3,"Food preparation surfaces shall be easily maintained in a hygienic condition. Stainless steel, decorative high pressure laminate, and tiles are examples of suitable materials for these surfaces.",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Food preparation surfaces shall be easily maintained in a hygienic condition. Stainless steel, decorative high pressure laminate, and tiles are examples of suitable materials for these surfaces.
Target: ","if( is( surface. type, food preparation)), then( obligation( is( surface. material, or( stainless steel, decorative high pressure laminate, tiles)), is( surface. maintenance, easily hygienic)))",1,1
1.1.4,Hot and cold water supply shall be provided to the sink as required by NZBC G12 “Water Supplies”.,NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Hot and cold water supply shall be provided to the sink as required by NZBC G12 “Water Supplies”.
Target: ","if( has( sink, hot and cold water supply)), then( obligation( comply with( sink. installation, nzbc g12)))",1,1
1.1.5,Plumbing and drainage for waste water from the sink shall be provided as required by NZBC G13 “Foul Water”.,NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Plumbing and drainage for waste water from the sink shall be provided as required by NZBC G13 “Foul Water”.
Target: ","if( exist( sink)), then( obligation( provide( plumbing and drainage, for( waste water, sink)), comply with( plumbing and drainage, nzbc g13)))",1,1
1.2.1,"A cooker with an oven and a hot plate, or a wall oven and a separate hob, shall be provided for cooking.",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 A cooker with an oven and a hot plate, or a wall oven and a separate hob, shall be provided for cooking.
Target: ","if( exist( cooking appliance)), then( obligation( or( and( has( cooking appliance, oven), has( cooking appliance, hot plate)), and( has( cooking appliance, wall oven), has( separate hob))))",1,1
1.3.2,"The food storage space shall provide for either refrigeration, or ventilation to the outside air.",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 The food storage space shall provide for either refrigeration, or ventilation to the outside air.
Target: ","if( exist( food storage space)), then( obligation( or( has( food storage space, refrigeration), has( food storage space, ventilation towards( ventilation, outside air)))))",1,1
1.3.3,"Ventilation may be by mechanical or natural means. Where natural air flow is used, wall vents to the exterior shall be installed near both the top and bottom of the storage area.",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Ventilation may be by mechanical or natural means. Where natural air flow is used, wall vents to the exterior shall be installed near both the top and bottom of the storage area.
Target: ","if( has( storage area, ventilation)), then( and( or( is( ventilation. type, mechanical), is( ventilation. type, natural)), if( is( ventilation. type, natural), and( has( wall, vent), towards( vent, building exterior), is( vent. location, or( top, bottom)), for( vent, wall))))",1,1
1.3.4,Ventilation openings shall be fly and vermin proof.,NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Ventilation openings shall be fly and vermin proof.
Target: ","if( exist( ventilation opening)), then( obligation( and( has( ventilation opening, protection), against( protection, fly), against( protection, vermin))))",1,1
1.4.1,"Where a building is connected to a reticulated energy source, cooking and refrigeration appliances shall be permanently connected to a gas supply, complying with NZBC G11 , or provided with connections to electrical outlets complying with NZBC G9 .",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Where a building is connected to a reticulated energy source, cooking and refrigeration appliances shall be permanently connected to a gas supply, complying with NZBC G11 , or provided with connections to electrical outlets complying with NZBC G9 .
Target: ","if( and( connected( building, reticulated energy source), or( is( appliance. type, cooking), is( appliance. type, refrigeration))), then( obligation( or( and( connect( appliance, gas supply), comply with( gas supply, nzbc g11)), and( connect( appliance, electrical outlet), comply with( electrical outlet, nzbc g9)))))",1,1
1.5.1,"The minimum clear space, adjacent to the facilities, shall be as shown in Figure 1 , and shall extend at least 800 mm on the operational side of the facility. If there is an oven door that protrudes into this clear space when open, there must be at least 600 mm clearance as shown. The minimum clear space shall not form part of any access route.",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 The minimum clear space, adjacent to the facilities, shall be as shown in Figure 1 , and shall extend at least 800 mm on the operational side of the facility. If there is an oven door that protrudes into this clear space when open, there must be at least 600 mm clearance as shown. The minimum clear space shall not form part of any access route.
Target: ","if( exist( facility)), then( obligation( and( define( operational side, x0), towards( clear space, facility), greater than equal( clear space, 800 mm), not( within( clear space, access route)), or( and( has( facility, oven door), is( oven door. open, true), greater than equal( oven door. clearance, 600 mm)), not( within( oven door. clearance, access route))), as per( clear space, nzbc g3as1 f1))))",1,1
1.5.2,"Where facilities are provided for people with disabilities: space to allow a turning circle of 1500 mm shall be provided in front of those facilities as shown in Figure 1 , work surfaces shall be a maximum height of 900 mm above the floor.",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Where facilities are provided for people with disabilities: space to allow a turning circle of 1500 mm shall be provided in front of those facilities as shown in Figure 1 , work surfaces shall be a maximum height of 900 mm above the floor.
Target: ","if( exist( facility)), then( obligation( and( for( facility, disability), has( facility, turning circle), is( turning circle. size, 1500 mm), as per( turning circle, nzbc g3as1 f1), has( facility, work surface), less than equal( work surface. height, 900 mm))))",1,1
1.6,"Wall linings Wall linings adjacent to appliances and facilities shall have surfaces that can be easily maintained in a hygienic condition. Stainless steel, decorative high pressure laminate, tiles, wallboards with painted or applied impervious coatings or films, are examples of suitable materials for these surfaces.",NZ_NZBC-G3AS1#1.2,"Source: G3AS1 Wall linings Wall linings adjacent to appliances and facilities shall have surfaces that can be easily maintained in a hygienic condition. Stainless steel, decorative high pressure laminate, tiles, wallboards with painted or applied impervious coatings or films, are examples of suitable materials for these surfaces.
Target: ","if( adjacent( wall lining, appliance or facility)), then( obligation( has( wall lining. surface, and( easy maintenance, hygienic condition))), and( permission( is( wall lining. surface, or( stainless steel, decorative high pressure laminate, tile, wallboard with painted or applied impervious coatings or films)))))",1,1
